,positivo
3513,"muy céntrico para todos los sitios, incluido el metro, la estación de tren y la catedral de valencia"
3514,"Buena ubicación, fácil acceso a pie a los lugares que queríamos ver."
3515,excelente ubicación
3516,"ubicación - excelente. Habitación: excelente, espaciosa y extremadamente limpia. desayuno - bueno. El personal del hotel fue todo educado y eficiente en su trabajo. Todo el hotel estaba impecable y se veía increíble."
3517,ubicación central impecablemente limpia
3518,El hotel era muy bueno. Debería ser más que un 2 estrellas.
3519,encantadora estancia
3520,"Excelente ubicación, corta distancia a todas las atracciones, el personal de limpieza fue muy servicial, bonita habitación, buen tamaño para 2 personas. El desayuno era muy sabroso."
3521,"Excelente ubicación, habitaciones muy bonitas y el personal fue muy amable y servicial."
3522,el personal fue muy amable y. El hotel estaba impecable y la ubicación no podría haber sido mejor.
3523,"Muy limpio, personal super amable y una ubicación fabulosa."
3524,"Todo, la ubicación era increíble, teníamos un balcón y todo. tan buena relación calidad-precio"
3525,"El hotel estaba muy céntrico, cerca de la estación principal de tren y del metro. mi habitación daba a la plaza y a la fuente. fue muy cómodo y limpio."
3526,"La ubicación era perfecta, a poca distancia de la estación de tren. Está en el centro de la ciudad con restaurantes, bares, tiendas y el mercado central a pocos minutos caminando. la habitación estaba limpia y la cama era cómoda, las instalaciones de la habitación y el baño eran buenas y estaban a la altura. el desayuno fue muy bueno. Todas las categorías de personal fueron serviciales y profesionales."
3527,"Teníamos una habitación increíble, con vistas a la plaza y a la fuente. fue una experiencia fabulosa. El personal de recepción fue muy amable y servicial. Cama cómoda y todo nuevo y limpio. tan central para todo. Bonito restaurante italiano en el camino también."
3528,fabulosa ubicación y habitación muy cómoda
3529,"Este hotel superó todas nuestras expectativas. la ubicación era increíble. Todo el personal es amable y servicial. Un agradecimiento especial a Paedro, el portero nocturno, por servirnos unos gts increíbles. una ciudad tan hermosa. ¡volveremos!"
3530,"la ubicación es fantástica. justo en el centro de la plaza principal. El personal fue increíblemente servicial y todos y cada uno de los que conocimos fueron amables y profesionales. El hotel estaba limpio con habitaciones modernas, bien equipadas y cómodas. Volveríamos en un abrir y cerrar de ojos y tendríamos la intención de hacerlo."
3531,Excelente ubicación para explorar valencia. El check-in fue muy fácil y sencillo. El personal de recepción es muy servicial. gran comunicación.
3532,habitación....ubicación muy cómoda...excelente desayuno...excelente elección y fresco
3533,"Ubicación y habitación, la cama era muy cómoda."
3534,La ubicación era perfecta para explorar el casco antiguo. Estaba tranquilo dentro y fuera del hotel y estaba muy limpio.
3535,muy céntrico. muy limpio
3536,Hotel y habitaciones impecables. excelente ubicación central
3537,"Ubicación central, personal encantador y excelente aislamiento acústico desde el exterior. Realmente me gustó la opción de usar el ventilador y el aire acondicionado. Nos alojamos aquí por 3 noches, ¡pero podríamos habernos quedado fácilmente por una semana! la ducha es fenomenal."
3538,exelente servicio y ubicacion.
3539,¡La ubicación fue fantástica! Christian en el mostrador de recepción fue muy servicial. La habitación era un poco pequeña pero todo lo demás fue genial.
3540,"maravillosa ubicación, personal excepcionalmente servicial y eficiente. Excelente habitación con vistas a la plaza, muy limpia y cómoda. Disfruté del desayuno y de encantadores restaurantes muy cerca."
3541,"La ubicación era perfecta, la habitación estaba limpia y era cómoda. Teníamos un pequeño balcón con vistas a la plaza. fue perfecto"
3542,"El desayuno es fantástico, con una gran selección para elegir y abundante. La única sugerencia que haría es que sería útil empezar el desayuno un poco más temprano el día de salida para poder disfrutar del desayuno antes de viajar al aeropuerto para tomar un vuelo a media mañana. la ubicación es excelente."
3543,"Ubicación increíble, hotel de alta calidad, las fotos no le hacen justicia. fabuloso"
3544,"la habitación estaba impecablemente limpia, muy espaciosa. todo parecía nuevo. Baño completo a estrenar y amplio. Ubicación excelente, justo en el centro cerca de muchos bares y restaurantes, tiendas y muchos puntos de interés. No probé el desayuno en el hotel, pero tomé unas copas en el bar varias veces. El personal agradable y las bebidas tenían una buena relación calidad-precio."
3545,"todo. el personal amable, el desayuno estupendo, la habitación preciosa y la vista de la plaza y la fuente, y la ubicación era fantástica."
3546,"Me encantó la ubicación, el servicio y el personal. todo estuvo muy bien. Recomiendo encarecidamente este hotel."
3547,Todo fue perfecto... el personal fue amable y eficiente. . Las habitaciones eran preciosas con vistas a la plaza. 2 estrellas se sentía más como 4 estrellas. Nos encantó nuestra estancia gracias.
3548,excelente servicio! Pedí que dejaran una tarjeta en la habitación para mis amigos a la llegada y todo estaba preparado sin problemas ni dudas.
3549,"la habitación estaba limpia y bien cuidada y se proporcionaron todas las comodidades habituales, toallas, ropa de cama, etc. Tuvimos un par de problemas con la caja fuerte de nuestra habitación, así como con la llave de nuestra habitación, pero estos fueron problemas que nosotros mismos causamos y el personal fue muy rápido y cortés al ayudar a solucionarlos."
3550,"Excelente ubicación, impecablemente limpio y excelente relación calidad-precio."
3551,La posición es excelente. las camas son muy cómodas. el personal es eficiente y servicial.
3552,"Personal amable y servicial, la mejor habitación limpia y luminosa que hemos tenido en ese hotel hasta ahora y las mejores toallas blancas jamás vistas en un hotel. maravilloso."
3553,"Ubicación, habitación limpia, ducha fabulosa."
3554,ubicación fantástica. personal muy servicial y dispuesto a ayudar.
3555,Me encantó la habitación que daba a la plaza. La habitación estaba impecablemente limpia. muchas ventanas. cama y almohadas realmente cómodas.
3556,Super hotel en una ubicación central. impecablemente limpio y personal encantador. No hay ningún problema. No probé el desayuno porque nos gusta pasear por la mañana y probar diferentes lugares. Definitivamente me quedaría aquí de nuevo. altamente recomendable cara radiante con ojos sonrientes pulgar hacia arriba bandera españa
3557,"El hotel está en una ubicación fantástica y nuestra vista daba a la plaza. preciosas vistas y una gran sala. La habitación era de buen tamaño, pero afortunadamente algunos otros lograron recibir una habitación significativamente más grande por el mismo precio."
3558,"Este hotel fue el mejor en el que hemos viajado a muchos países en este viaje y fue, con diferencia, el mejor."
3559,la limpieza. la amabilidad y la ubicación fueron maravillosas. gran relación calidad-precio
3560,Mi habitación tenía una gran vista de la plaza con un balcón. La habitación de mi hijo tenía vistas a una calle lateral. Ambas eran vistas realmente bonitas. el personal del hotel fue muy amable y servicial. ¡Había una gran heladería al lado!
3561,"Ubicación muy céntrica, ideal para explorar el casco antiguo a pie. el personal fue muy educado y amable."
3562,"La ubicación, las habitaciones de buen tamaño y el personal fueron excelentes."
3563,el hotel era justo lo que necesitábamos. Habitación de buen tamaño y ubicación privilegiada para lo que queríamos ver. Gran ducha y ventilador de aire acondicionado eficiente. Pasamos 4 noches aquí. El desayuno estuvo bien los días que lo usamos.
3564,la habitación estaba limpia y era cómoda y la ubicación perfecta.non
3565,ubicación
3566,"El hotel está en el corazón de la ciudad, con los principales lugares de interés a poca distancia a pie. Nos alojamos en una habitación económica, así que no tenía vistas, pero la habitación tenía todo lo que necesitábamos para una estancia de fin de semana: hervidor de agua, nevera con paquete de bienvenida, secador de pelo y soportes para maletas. Hay lockers para maletas y computadoras disponibles para su uso. Todo está limpio y bien cuidado y hay muchas opciones de desayuno."
3567,"la ubicación del hotel es fantástica. Sinceramente, no podrías ser más central. todas partes están a poca distancia. Al llegar al hotel, descubrimos que nos habían ascendido a una habitación en la esquina que tenía vistas a la plaza principal y a la fuente, era hermosa. la habitación era espaciosa y estaba muy limpia y tenía todo lo que necesitábamos. El personal del hotel fue muy amable y agradable."
3568,"No podría estar mejor ubicado. la habitación con vistas a la plaza municipal ofrecía un pequeño balcón con vistas a toda la vida en la plaza más hermosa. Justo en la mejor parte del casco antiguo, a pocos pasos de la mayoría de los puntos de interés, las habitaciones tenían doble acristalamiento, lo que significaba que no escuchamos ningún ruido del exterior. Limpio, moderno y elegante sin gastar mucho dinero."
3569,ubicación
3570,Impresionante ubicación para todo! el personal fue muy amable y servicial
3571,personal servicial e informativo. Ubicación perfecta para moverse fácilmente. cerca de estación de tren y autobús. Balcón con vista a la plaza. El desayuno buffet era realmente bueno. La habitación tenía una nevera pequeña. Me gustó toda la experiencia.
3572,Ubicación y muy atractivo.
3573,"El hotel era perfecto, el personal era muy amable, las habitaciones estaban impecables, la tranquilidad por la noche y había mucha variedad en el desayuno. la ubicación increíble. centro hasta la plaza donde podrás sentarte a comer algo, tomar un café o simplemente ver pasar el mundo. paradas de autobús y servicio de taxi a la vuelta de la esquina si lo necesita, caminamos a todos lados y valió la pena, las vistas, los edificios, las tiendas, la iglesia son simplemente hermosas."
3574,"Fantástica ubicación con vistas a la plaza Ayuntamiento, justo en el centro de Venecia, a pocos pasos de la estación."
3575,habitación limpia y cómoda. Realmente disfruté del balcón y de la increíble vista. El aire acondicionado también es bueno y bastante silencioso.
3576,"Todo, desde el momento en que llegamos, el personal fue amable, el hotel fue fantástico. Teníamos una preciosa habitación con vistas a la plaza. Nuestra habitación era perfecta, muy espaciosa y cómoda. Nos quedamos solo una noche para nuestro aniversario de bodas, lo cual el personal no supo hasta que llegamos y lo mencionamos en la conversación. Nos dejaron una pequeña botella de champán y unos bombones, una sorpresa tan encantadora. Definitivamente regresaremos. Recomendaría este hermoso hotel a cualquiera que visite Valencia. El hotel está situado a pocos pasos de la estación de tren y es absolutamente perfecto para pasear por la hermosa ciudad de Valencia."
3577,excelente ubicación. Nuestra habitación superior con vistas a la plaza era magnífica. el personal es excelente. Nuestra segunda visita y nos hospedaremos nuevamente la próxima vez que estemos en la hermosa Valencia.
3579,excelente ubicación. habitación limpia de buen tamaño. El personal fue muy servicial. no hay ningún problema
3580,"La ubicación era fantástica, la recepción estaba abierta las 24 horas."
3581,Ubicación excelente y desayuno muy bueno.
3582,"Excelente ubicación, justo en el corazón del casco antiguo. El personal fue muy amable."
3583,"Excelente ubicación central, hermosa habitación cómoda y personal amable."
3584,"La propiedad estaba impecable, camas cómodas. Personal amable y acogedor. Todo lo que puedas necesitar en la habitación espaciosa. Vistas encantadoras. Buen aire acondicionado."
3585,"Excelente ubicación, el personal fue muy servicial, el hotel estaba impecable y la habitación era muy cómoda. No podría recomendar más."
3586,"Habitaciones limpias, cómodas y espaciosas. desayuno fabuloso. excelente ubicación."
3587,su ubicación y estilo
3588,ubicación fantástica! Habitaciones limpias y bien equipadas con balcón y menaje para preparar té y café. felicidad hotel bellamente decorado! gran personal
3589,¡El tamaño de la habitación para una familia de 4 era genial! El baño es hermoso. No entiendo por qué es solo un 2 estrellas. ¡Más bien un 4 estrellas! ¡Mejor que algunos de 3 estrellas en los que nos hemos alojado!
3590,"El hotel está muy bien ubicado en la plaza del ayuntamiento. Una plaza muy bonita ubicada en el centro, a poca distancia del mercado central, la lonja y la catedral de la plaza de las riendas."
3591,"La habitación era de buen tamaño con una bonita vista de la plaza, el personal era amable y servicial, la ubicación era estupenda."
3592,"hotel, ubicación. habitación, vista"
3593,ubicación y cama cómoda
3594,"la ubicación era fantástica manos aplaudiendo la habitación impecable y el servicio del personal fue excepcional. Este debería ser al menos un hotel de 3, posiblemente más. Definitivamente usaría este hotel nuevamente, tiene una excelente relación calidad-precio."
3595,"personal, ubicación"
3596,"Hermoso hotel, personal increíble, excelente ubicación, no puedo recomendarlo lo suficiente."
3597,"Muy céntrico, excelente servicio al cliente. Nos alojamos en el octavo piso con una gran terraza, una excelente adición al apartamento, ya que podemos sentarnos y comer fácilmente. gran vista al centro"
3598,"El desayuno estaba bien, pero no como esperaba, otros lugares ofrecen una mejor relación calidad-precio y no son suficientes."
3599,"location, location location cara sonriente cara sonriente cara sonriente cara sonriente"
3600,"ubicación increíble. No se puede ser más central que esto. Es muy fácil llegar directamente desde el aeropuerto en metro, a sólo unos minutos a pie de la parada de metro. El hotel superó enormemente mis expectativas. extremadamente limpio, espacioso y moderno. La habitación tenía más de lo esperado. limpiado impecablemente cada día. personal muy servicial y amable. Definitivamente me quedaría aquí de nuevo."
3601,"ubicación, comodidad, tranquilidad por la noche, limpieza, personal agradable"
3602,la habitación era preciosa y estaba en una ubicación estupenda. el personal fue extremadamente amable en el trato
3603,muy buena ubicación!!! ;
3604,fabulosa habitación 801 con un balcón muy grande para disfrutar de la vista
3605,"Excelente ubicación, el personal fue muy servicial y el desayuno fue maravilloso, con una buena selección."
3606,"Personal muy atento, hotel limpio y muy acogedor. cuentan con resguardo de equipaje, dispensador de agua y servicio 24 7. Además nuestra habitación estaba impecable. la ubicación es la más céntrica que puedes tener. a , lo recomendamos con los ojos cerrados cara radiante con ojos sonrientes"
3607,"Excelente ubicación, habitaciones grandes y limpias con jabones de baño de calidad, etc. Toallas y sombrillas gratis para la playa con depósito. El desayuno fue muy bueno."
3608,Las instalaciones más cómodas y lujosas al precio más económico. Lo recomendamos ampliamente.
3609,Fantástica ubicación y hermoso hotel recientemente reformado. Nuestra habitación en el octavo piso tenía una vista increíble de la plaza.
3610,la ubicación era fabulosa
3611,personal y ubicación fantásticos. una de las mejores habitaciones en las que me he alojado
3612,"Fue una estancia inesperadamente buena aquí. Realmente no esperábamos mucho, pero todo tenía una buena relación calidad-precio. la habitación y el desayuno estaban muy bien señal de aprobación con la mano"
3613,"Ubicación muy central, fácil acceso a todos los lugares de interés. la habitación estaba muy limpia y cómoda. La próxima vez definitivamente me quedaría aquí."
3614,"La ubicación excepcional, cerca de todas las atracciones. personal amable. Habitaciones muy limpias y cómodas. Gran idea tener aire acondicionado y ventilador de techo. Sorprendido es sólo un hotel de 2."
3615,"Excelente ubicación, céntrico, al lado del ayuntamiento, a poca distancia de muchos puntos de interés, restaurantes y transporte público. hermoso edificio, muy limpio. La habitación era bonita, exactamente como se describe. personal muy agradable y servicial. El hotel ofrece taquillas gratuitas para guardar su equipaje en caso de que tenga un vuelo retrasado y quiera utilizar las horas extra después del check-out para ir de compras o hacer turismo. es un servicio muy útil. En definitiva, fue una experiencia agradable en Valencia."
3616,excelente ubicación
3617,"La ubicación era perfecta, la habitación estaba limpia y la limpiaban muy bien todos los días, el ventilador de techo era una buena ventaja."
3618,"Cuarto de baño muy moderno, menaje para preparar té y café, nevera. Excelente ubicación para restaurantes, transporte y tiendas. Aparcamiento a través del hotel cerca del hotel."
3619,"Personal amable, buen aire acondicionado, excelente ubicación, a poca distancia de todas partes pero tranquila."
3620,"Ubicación fabulosa, personal limpio y servicial, bar no demasiado caro."
3621,Me encantó la ubicación. nuestra habitación tenía un pequeño balcón que daba a la plaza. Genial para observar a la gente.
3622,"Fantástica ubicación central, con preciosas vistas desde el balcón. personal amable. Buenas instalaciones para guardar equipaje. La habitación estaba limpia y era cómoda. Gran valor para una habitación familiar."
3623,"El personal fue excepcional, muy servicial y amable, está en una buena ubicación cerca del mercado central y de excelentes tapas y tiendas."
3624,"ubicación increíble. Preciosa vista desde el balcón con vistas a la fuente y a la plaza. Súper ducha y champú con gel de ducha encantador. excelente personal, realmente servicial. La habitación la limpiaban todos los días con toallas limpias, lo cual fue genial. Nevera útil para guardar útiles. No me puedo quejar. No fuimos a desayunar, solo estábamos en la habitación, así que no puedo comentar sobre esto. Excelentes casilleros por un euro en nuestro último día y el personal no podría haber sido más amable ya que seguíamos yendo y viniendo para agregar cosas a las maletas, etc. Un hotel increíble, realmente no podemos creer que sea solo de 2 estrellas. La calificación de bookings.com por la que lo reservamos es acertada, es genial."
3625,La ubicación era excelente y el hotel realmente bonito e impecable. No estoy seguro de por qué un dos estrellas debería ser al menos un cuatro estrellas.
3626,la ubicación era increíble. El personal era encantador y era muy agradable que el personal de limpieza limpiara las habitaciones todos los días. Muchas gracias por el increíble trabajo de los limpiadores.
3627,la habitación estaba muy limpia y la cama era muy cómoda. Ojalá nos dieran más comodidades en la habitación.
3628,Fue el hotel más impresionante en el que me he alojado. Estaba en la plaza principal de la ciudad. muy seguro para viajar solo. súper limpio. eran 100 Tenía dos balcones. El personal fue maravilloso. estaré detrás. gracias.
3629,"Ubicación muy céntrica en el casco antiguo pero no había ruido en el hotel. Excelente desayuno ambos días. personal muy amable, excelente servicio de limpieza"
3630,"venecia centro plaza es perfecto para una escapada en pareja. El personal era muy agradable y el hotel estaba impecablemente limpio. Desayunamos todas las mañanas y él era hermoso. Mi consejo si te diriges a Valencia, quédate en Venecia Plaza Centro. Nos alojamos en la habitación superior con vistas a la plaza, tenía unas vistas estupendas de la plaza de la fuente."
3631,Habitaciones modernas y limpias. hermosa ubicación y personal increíble!
3632,"Me gusta la ubicación cien puntos señal de aprobación con la mano, personal muy amable. camas cómodas. habitación grande y baño."
3633,excelente ubicación. en el corazón de la ciudad. Personal amable. Enrico fue increíble y me brindó mucha información detallada y valiosa. la habitación era hermosa. almohada súper cómoda mala y finalmente súper cómoda. excepcionalmente limpio. Recomendaría altamente este hotel. ¿Cómo diablos son solo 2 estrellas?
3634,"Excelente ubicación, la habitación era un poco más pequeña pero el balcón era genial para asimilarlo todo. Sin duda me alojaría aquí de nuevo. hotel impecable con personal amable"
3635,"excelente ubicación, muy limpio, personal servicial"
3636,"Todo: excelente ubicación, todo lo que necesitas en la habitación. personal eficiente."
3637,excelente ubicación.
3638,bonita propiedad
3639,"Está perfectamente ubicado en el centro de Valencia, limpio y cómodo, y el personal es muy atento y servicial y se acordó de mí cuando estuve allí en junio con mi hermana. Esta vez estuve allí con una amiga y a ella también le encantó."
3640,una ubicación genial justo en el centro y cerca de la estación de tren. Teníamos una habitación básica pero aún así estaba bien. El hotel está limpio y tiene una buena decoración moderna. Todas las toallas y jabones incluidos y frescos.
3641,brillante ubicación
3642,"Esta propiedad estaba súper limpia, las camas estaban hechas y limpiadas todos los días con toallas limpias. El personal fue extremadamente amable y dispuesto a ayudar con cualquier pregunta. La propiedad también cuenta con consigna de equipaje que usted inserta y que recibirá de vuelta más tarde, pero puede guardar grandes cantidades de equipaje en un casillero durante el tiempo que necesite."
3643,"Excelente ubicación, habitación limpia y bien equipada."
3644,la ubicación era excelente. Es muy fácil viajar desde y hacia en transporte público. no había necesidad de utilizar un taxi.
3645,muy centrico y moderno
3646,todo fue genial.
3647,ubicación principal y hospitalidad del personal
3648,"ubicación fabulosa. El desayuno era increíble, gran selección y delicioso."
3649,No se puede superar la ubicación
3650,El hotel fue uno de los mejores en los que me he alojado. La ubicación es perfecta para una escapada a la ciudad y el personal fue increíble y servicial. Lo recomendaré a otros.
3651,"Hermosa área central donde el hotel está las habitaciones eran encantadoras, espaciosas y amables."
3652,"Excelente ubicación justo en el medio y a solo 5 minutos del metro para viajar directamente al aeropuerto. El hotel debería ser más de 2. Las habitaciones son excelentes, muy limpias y el personal es muy amable y servicial."
3653,"Me encantó absolutamente todo acerca de mi estancia aquí. En primer lugar, el personal fue de primera clase, recibí una gran bienvenida cuando llegué tarde y el personal siempre estuvo dispuesto a ayudar en la recepción. El personal de limpieza también fue excepcional. La ubicación es absolutamente perfecta, justo en la plaza principal, inmejorable. la habitación era espaciosa, limpia, la cama y el baño eran geniales. El hotel cumplió perfectamente con mi solicitud de habitación, lo cual fue muy apreciado. La habitación estaba muy tranquila por la noche, no había sonido del exterior. no hay nada malo que decir."
3654,"Ubicación perfecta en la plaza central, pero tenga en cuenta que Valencia es una ciudad muy grande y algunas atracciones, como la playa y el centro de ciencias, están a cierta distancia, aunque se puede llegar fácilmente en autobús. Recepción muy amable las 24 horas. muchos bares y restaurantes cercanos."
3655,"la ubicación era genial. La habitación era moderna, tenía todo lo que necesitábamos y un hermoso balcón. El personal fue muy amable."
3656,"Ubicación perfecta, balcón, gran desayuno."
3657,realmente muy limpio y excelente ambiente de seguridad con seguridad en el hotel
3658,instalaciones muy buenas. personal extremadamente amable y servicial. la ubicación era excelente
3659,Disfrutamos mucho de nuestra estancia en el Venecia Plaza. El personal muy amable y el desayuno era muy bueno. La ubicación es perfecta si quieres ver la mayor parte de Valencia a pie. Nos alojamos en una habitación cuádruple que recomiendo encarecidamente con vistas a la plaza. Definitivamente me quedaría de nuevo.
3660,"excelente ubicación, rico desayuno"
3661,excelente ubicación.
3662,"la ubicación superó nuestras expectativas. Reservamos una habitación con vistas a la plaza y disfrutamos sentados en la terraza por las noches. El personal fue fantástico, el desayuno tenía una buena relación calidad-precio. ¡Nos encantó nuestra estancia!"
3663,"situado en el kilómetro 0 de valencia, a 7 minutos a pie de la estación principal de metro. A poca distancia de la catedral del casco antiguo, torres, etc. Personal muy servicial."
3664,"¡Una experiencia maravillosa en venecia plaza centro! Desde el momento en que llegamos, que fue en las primeras horas de la mañana, el personal nos hizo sentir increíblemente bienvenidos, amables, serviciales y realmente cálidos durante toda nuestra estadía. La habitación estaba impecable y muy bien mantenida, con toques bien pensados ​​que la hacían sentir acogedora y confortable. Me encantó tener una mini nevera: nuestra habitación tenía un diseño compacto pero estaba perfectamente organizada, y el balcón con vistas a la plaza era lo más destacado, la vista era impresionante, especialmente por la noche. la ubicación es inmejorable: justo en el corazón de la ciudad, a pasos de tiendas, restaurantes y todo lo que quieras explorar en valencia. Sin duda me alojaría aquí de nuevo, una joya de hotel con corazón y hospitalidad."
3666,"Habitación de buen tamaño, personal amable y servicial, bonitas vistas desde la habitación, excelente ubicación y una bebida gratis en el bar."
3667,"Ubicación fabulosa pero muy tranquila. Habitación pequeña pero con todo lo necesario para una escapada a la ciudad. Excelente depósito de equipaje, fuente de agua gratuita."
3668,"Estamos contentos de haber reservado en este hotel, tiene una ubicación de 10 sobre 10 en pleno centro de Valencia. La mayoría de los lugares turísticos están a sólo 5-10 minutos a pie y se puede llegar fácilmente a los demás en el autobús 32 que le lleva desde la puerta del hotel o en metro a 5-7 minutos a pie hasta el metro Xativa. Puedes encontrar muchos restaurantes y bares cerca. las habitaciones son pequeñas pero siempre están limpias, las sábanas y las toallas se cambian todos los días y el piso se aspira y probablemente también se lava y tiene todo lo que necesita para su estadía, incluidos kits dentales, champú, etc. ¡Excelente lugar! Además, la comunicación con el hotel fue increíble. Obtuve respuestas a través de la reserva para todas las preguntas anteriores que tuve."
3669,"Ubicación, personal, ambiente, todo."
3670,ubicación
3671,"Personal amable, habitaciones amplias y limpias y céntricamente ubicado en el centro de la ciudad. sólo 10 min. Aléjese de la estación de metro hasta el aeropuerto. nos encantó. absolutamente recomendado!"
3672,"La ubicación era perfecta, cerca del metro que te lleva directamente desde el aeropuerto. El personal fue muy amable y servicial. El desayuno es delicioso, especialmente cuando hace calor, hay mucho yogur y fruta disponibles. ¡Definitivamente lo recomendaría y volvería en el futuro!"
3673,"Ubicación perfecta, personal excelente, habitación limpia y espaciosa, limpieza diaria."
3674,"excelente ubicación! La habitación era un poco pequeña, pero nuestra primera opción ya no estaba disponible, por lo que hicimos una reserva de último minuto que nos llevó a una habitación más pequeña, pero la próxima vez reservaremos una habitación con vistas. En general, personal maravilloso y ubicación maravillosa."
3675,ubicación
3676,"La ubicación era fabulosa, un ambiente encantador."
3677,Estuvimos allí para mi cumpleaños así que nos dejaron una botella pequeña de cava. 2 copas y bombones. También una nota para desearme feliz cumpleaños.
3678,"Nos encantó la ubicación, la habitación y las comodidades, ¡y la increíble hospitalidad del personal!"
3679,"excelente ubicación, habitaciones muy espaciosas, personal amable"
3680,proximidad al corazón de la ciudad buen aire acondicionado excelente consigna de equipaje
3681,La razón principal por la que elegí este hotel fue por su ubicación y no me decepcionó.
3682,excelente ubicación
3683,"El hotel y la habitación son realmente bonitos y limpios. Hay un balcón pequeño pero suficiente para sentarse, relajarse y disfrutar de la hermosa vista. El personal es realmente amable y servicial. Hay un vestuario privado para el equipaje. 15 10 puntos para el hotel."
3684,buenas toallas y ducha. Espacio pequeño pero confortable.
3685,¡la ubicación es perfecta! no podría haber sido mejor. minutos caminando de todo
3687,"La ubicación era genial, habitaciones muy limpias y luminosas."
3688,- la ubicación es excelente - instalaciones limpias - personal amable - cafetera en la habitación
3689,"la ubicación es excelente. El aire acondicionado es muy bueno, el personal es amable y el lugar está limpio."
3690,"el hotel está situado cerca de la estación de tren y en el centro de la ciudad. La habitación era estupenda, súper limpia y aprecié todas las comodidades adicionales. 100 recomendado"
3691,"Excelente hotel, no puedo entender cómo es sólo dos estrellas. Definitivamente recomendado."
3692,"Me encantó todo acerca de este hotel. la ubicación era excelente! justo en la plaza. El hotel estaba limpio, moderno y todo funcionaba bien. el personal fue servicial y muy amable. Sin duda nos alojaríamos allí de nuevo. ¡¡Me encantó!!"
3693,Tuvimos una estancia familiar encantadora. La ubicación del hotel es fabulosa. preciosa vista desde nuestro balcón. Habitación impecablemente limpia y bien presentada. No dudaría en recomendarlo.
3694,"ubicación fabulosa, excelente personal"
3695,El hotel estaba impecable y el personal era amable y servicial con todas nuestras consultas. Disfrutamos de la ubicación central que nos permite explorar fácilmente la ciudad.
3696,"Excelente ubicación, conveniente, a poca distancia de la estación de tren. bonita vista, amplio balcón, personal amable"
3697,personal amable; muy limpio ; buen desayuno
3698,"me encantó todo: ubicación, perfecta para caminar a todos lados en el centro con todos los monumentos principales y restaurantes encantadores; y convenientemente cerca para volver a tomar una ducha rápida durante el día. cerca de transporte público, a 6 minutos a pie de la estación principal de tren, y de la estación de metro de las líneas 3 y 5 que conectan con el aeropuerto, parada de autobús de la línea 32 para ir a la playa. Equipo, todos fueron extremadamente amables y relajados al hablar inglés cuando era necesario u otros idiomas cuando era posible. La habitación, muy espaciosa, bonita, limpia y con un maravilloso aire acondicionado."
3699,"la ubicación, bonitas habitaciones"
3700,ubicación perfecta
3701,¡Todo fue perfecto!
3702,"Todo, lo recomiendo totalmente."
3703,"Tuvimos una estancia de 3 noches aquí y fue mejor de lo que esperaba. El personal de recepción fue muy amable y servicial. Se pueden reservar algunas atracciones turísticas en el mostrador. Nos alojamos en una habitación superior con balcón que daba a la plaza. Al principio pensé que sería ruidoso, pero las puertas corredizas mantenían alejado todo ruido, lo cual era genial, no era un sonido. La habitación estaba muy limpia y la cama era muy cómoda. ¡Felicitaciones al servicio de limpieza! Un par de bebidas y golosinas se dejaron gratis en el mini bar, fue un toque realmente agradable. El hotel en general tiene una excelente ubicación. Sin duda me alojaría aquí de nuevo y lo recomendaría a cualquiera."
3704,Bonito balcón con vista a la plaza de la ciudad. cama cómoda. cerca de la estación de tren del norte.
3705,"habitación, ubicación, desayuno- valoración 20, insuficiente 10....."
3706,"Me encantó mi habitación, compacta y silenciosa a pesar de estar en el centro."
3707,ubicación superior
3708,La ubicación era muy céntrica. Las habitaciones eran amplias y las camas cómodas.
3709,ubicación
3710,"gente increíble, excelente ubicación, excelente relación calidad-precio, hermosa ciudad"
3711,"Casi todo estaba a poca distancia del hotel, con una gran variedad de restaurantes y bares cerca. El dormitorio no era grande, pero los muebles elegantes eran muy funcionales. Un pequeño balcón y una mini nevera fueron una agradable sorpresa. Grandes ventanas de doble acristalamiento, no se oye ningún ruido de las calles concurridas. La estación de metro tampoco está demasiado lejos."
3712,El hotel está justo en el centro. muy cerca de los objetivos principales. extremadamente limpio y tiene todo lo que necesitas.
3713,"Fantástica ubicación, habitación muy limpia y espaciosa, cama muy cómoda y personal encantador."
3714,"Ubicación ideal para explorar la ciudad. El personal fue fantástico, muy servicial y amable. La habitación era perfecta, preciosa vista, pequeño balcón. El desayuno era delicioso, muy fresco. Espero volver."
3715,"Excelente ubicación, cerca de la estación y del hermoso casco antiguo. Limpio, cómodo, tranquilo, baño espacioso. El personal amable y servicial lo recomiendo encarecidamente."
3716,"El hotel está bien situado para acceder al transporte, restaurantes, cafeterías, tiendas y lugares de interés para visitar. Las habitaciones son espaciosas y tienen un baño grande. El desayuno era muy bueno, con buenas opciones de fruta, cereales, queso, jamón y pasteles."
3717,"todo salió bien. El personal fue extremadamente servicial. Muy paciente con nuestras muchas preguntas. La ubicación es genial, la habitación también."
3718,"fabuloso hotel en el centro de valencia que hemos visitado dos veces y que siempre supera nuestras expectativas. personal super amable y servicial. El hotel ha sido renovado recientemente y es encantador. Muy limpio, con muchos extras y unas vistas estupendas a la plaza del Ayuntamiento. El acristalamiento cuádruple hace que sea tranquilo dormir."
3719,todo en el hotel fue maravilloso definitivamente regresaremos cara radiante con ojos sonrientes
3720,¡Todo estuvo genial!
