,comentario_general
5161,excepcional
5163,Todo bien
5164,estancia perfecta
5166,Hermoso.
5167,estupendo. muy recomendado
5168,excepcional
5169,excepcional
5170,"un hotel muy céntrico, hermoso"
5171,excepcional
5173,válido para repetir
5174,excepcional
5175,excepcional
5176,excepcional
5177,excepcional
5180,excepcional
5181,fin de año en valencia
5182,dos estrellas son muy pocas
5183,corto pero intenso
5184,excepcional
5185,excepcional
5186,Ubicación muy céntrica y al mismo tiempo tranquila. excelente relación precio-rendimiento.
5187,Ampliamos nuestra estancia en este hotel porque la relación calidad-precio era muy buena.
5188,estancia cómoda pulgar hacia arriba
5189,hotel más allá de las expectativas
5190,excelente ubicación y personal agradable
5191,excepcional
5192,maravilloso hotel
5193,excepcional
5194,excelente.
5195,excepcional
5197,excepcional
5198,perfecto
5199,un sueño para revivir
5200,maravilloso
5201,estancia perfecta y cómoda para todo
5202,excepcional
5203,vale la pena repetirlo.
5205,excepcional
5207,excepcional
5208,muy agradable querida con las manos abrazadas
5209,el mejor hotel de todos los tiempos
5210,todo perfecto!
5211,excepcional
5212,¡Perfecto!
5213,¡la estancia perfecta en valencia!
5214,"personal extremadamente servicial, estructura muy limpia y cómoda, ubicación estratégica"
5215,"Gran hotel, excelente ubicación, muy bien decorado y muy limpio."
5216,Habitaciones de hotel en una hermosa ubicación.
5217,excepcional
5218,excepcional
5219,excepcional
5220,¡Fantástico!
5221,vacaciones especiales
5222,"Nos alojamos en este hotel por dos noches y lo pasamos genial. la ubicación es muy céntrica, en plaza d"
5223,excepcional
5224,estupendo
5225,magnífica estancia
5226,gran estancia
5227,excepcional
5228,súper hotel
5229,excepcional
5230,excepcional
5232,excepcional
5233,excelente ubicación
5236,excepcional
5237,muy buen hotel
5238,excepcional
5239,Hotel céntrico con buenas instalaciones y servicio amable. ¡Con mucho gusto otra vez!
5240,excelente
5241,excelente
5243,gran hotel con excelente ubicación
5244,excepcional
5245,hotel en el centro
5246,excepcional
5247,Me gustó mucho Valencia fue una agradable sorpresa.
5248,excepcional
5249,"Valencia es absolutamente preciosa. Aunque el hotel está catalogado como 2 estrellas, le daría al menos 4. La ubicación es"
5251,3 días en Valencia llenos de diversión y buena comida. Nos alojamos en el hotel venecia que recomiendo.
5252,excelente op en valencia
5254,"en una excelente ubicación para peatones, con buen desayuno, habitación limpia."
5257,experiencia verdaderamente especial. esperamos volver
5258,excepcional
5259,¡divertirse!
5261,excepcional
5262,¡Ya reservé para regresar a esta propiedad en dos semanas!
5263,excepcional
5264,"Nos lo pasamos muy bien, quién sabe tal vez volvamos en el futuro."
5265,4 amigos descubriendo Valencia
5266,mejor hotel en la mejor ciudad
5267,¡La estancia fue genial!
5268,perfecta
5269,hotel muy bien situado en el casco antiguo y cerca de todo
5270,estancia excepcional situada en el centro
5271,excepcional
5272,Un hotel céntrico y limpio. preferible
5273,excepcional
5275,
5278,muhte en el hotel
5279,Óptimo
5280,Recuerdo mi estancia con mucho cariño.
5281,excepcional
5282,excepcional
5283,estancia agradable
5284,ubicación fantástica y camas maravillosas
5285,dos noches en valencia
5286,"Limpio, cómodo y muy céntrico."
5287,excepcional
5288,hotel muy céntrico
5289,excepcional
5290,precio - calidad fantástica si la cama fuera mejor 100 puntos
5291,estancia perfecta en valencia
5292,"excelente hotel. todo perfecto desde la belleza de la estructura, comodidad, limpieza y ubicación."
5293,excepcional
5294,Volveré en cualquier momento.
5295,perfecto para un viaje corto a la ciudad
5296,gran alojamiento para mi viaje corto
5299,Fantástico
5300,encantador lugar justo en el centro
5302,"buena ubicación, limpio, todo salió muy bien"
5303,excepcional
5304,¡El hotel es ideal para un viaje a la ciudad de Valencia!
5305,excepcional
5307,excepcional
5308,excepcional
5309,excelente hotel
5310,10 10
5311,gran viaje a la ciudad
5312,excepcional
5313,excelente hotel valencia siempre hermoso.
5314,excepcional
5315,mucho mejor de lo que pensaba
5316,Fantástica estancia en un hotel muy agradable.
5317,estancia perfecta
5318,excepcional
5319,¡Lo mejor localiza lo imposible!
5320,"No os dejéis engañar por las dos estrellas, vale más."
5321,hotel perfecto para experimentar la ciudad
5323,"excelente estancia, muy recomendable"
5324,
5325,excepcional
5326,Valencia es hermosa y este hotel ayudó a que fuera maravillosa.
5327,todo fantástico! Hotel súper céntrico apto para familias que quieran pasar un fin de semana en Valencia
5328,Perfecto
5332,excepcional
5333,maravilloso hotel en una ubicación central con un personal educado.
5334,excepcional
5335,muy satisfactorio
5336,hotel perfecto para visitar valencia
5337,¡joya!
5339,estancia agradable
5340,excepcional
5341,simplemente perfecto
5343,excepcional
5344,una escapada urbana muy exitosa
5345,excepcional
5346,súper
5347,"gran hotel, céntrico"
5348,Excelente ubicación justo en el corazón de Valencia. AMPLIO Y HERMOSO LIVING CON SALIDA A LA PLAZA DE LA CASA!!! todo estuvo bien
5349,hotel muy céntrico
5350,todo excelente
5351,sentirse como en casa en una ciudad desconocida cara sonriendo con corazones
5352,ideal
5353,excelente
5354,impresionante
5355,Bonito hotel en el corazón de Valencia.
5356,comodidad y calidad en valencia
5357,buen hotel en una buena ubicación
5358,sorprendente.
5359,excepcional
5360,Magnífico .....
5362,mejor hotel en la mejor ubicación
5364,precio calidad excelente
5365,muy buena estancia.
5367,excepcional
5368,excepcional
5369,excelente estancia
5370,¡perfecto!
5371,Super hotel en medio de una ciudad bulliciosa.
5372,El hotel está muy céntrico con respecto a todas las atracciones.
5373,Está bien
5374,excepcional
5375,excelente
5377,vaya genial!
5378,excepcional
5379,¿Me quedaría de nuevo?
5381,"Ubicación excepcional, habitaciones sencillas pero limpias, personal muy amable."
5382,excepcional
5383,excepcional
5384,¡Como sentirte como en casa! hermosa y acogedora estructura!
5386,gracias a todos los chicos de la recepción! muy amable!
5387,estancia fantástica en un gran lugar.
5388,recomendado. Definitivamente regresaría.
5389,¡¡excelente!!
5391,súper céntrico y definitivamente recomendado!
5392,
5394,excepcional
5395,estancia muy agradable
5397,excepcional
5398,¡arriba!
5399,¡Perfecto!
5400,"más allá de las expectativas, estancia perfecta"
5401,excelente
5402,excepcional
5403,"Muy agradable, volveré a este hotel."
5404,estancia muy agradable en una ciudad magnífica
5405,excepcional
5406,Bonito hotel con una ubicación perfecta!
5407,cumplió con las expectativas.
5408,el mejor
5409,arriba
5410,"Ubicación perfecta, gran habitación en el lugar que vale la pena."
5412,excepcional
5413,"Ubicación muy central, excelente limpieza y personal servicial."
5414,absolutamente recomendado
5415,súper
5416,sorpresa grata
5417,hotel por encima de las expectativas
5418,gran base para explorar Valencia
5419,perfecto
5420,"Precioso hotel, muy recomendable."
5422,En el
5424,muy bueno aun asi. buena calidad precio
5425,buena ubicación. habitación ordenada
5426,¡Gran hotel en una excelente ubicación con un excelente desayuno!
5427,habitación ordenada y limpia
5428,Hotel céntrico y bonito.
5429,excepcional
5430,aconsejado
5431,excepcional
5432,muy lindo
5433,excepcional
5434,excepcional
5437,gran hotel con una excelente ubicación
5438,excepcional
5439,"cómodo, céntrico y moderno"
5440,estancia excepcional en un entorno de lujo
5442,¡Se lo recomiendo a todos!
5443,"Nos sorprendió, es mucho más que un 2 estrellas."
5444,comodidad y ubicación excepcionales
5447,Perfecto
5448,excepcional
5450,excepcional
5451,"Hermosas vacaciones, Valencia es una ciudad maravillosa."
5452,lugar ideal para alojarse en valencia
5453,excepcional
5455,"Fue una estancia relajante, cultural pero también culinaria y divertida con mi familia."
5458,"muy buena estancia, lo recomiendo!"
5459,excepcional
5460,básico
5462,para hacerlo de nuevo otro día
5463,excepcional
5466,excelente
5467,oltre le mie aspettative cara feliz con ojos sonrientes
5468,perfección
5469,excelente estancia
5470,excepcional
5471,4 días en valencia
5472,"hotel en el centro, super comodo"
5473,"Todo perfecto, desde la ubicación, hasta la habitación y el desayuno. Volveré y definitivamente lo recomendaré a cualquiera."
5474,gracias a todo el equipo del hotel. y los restaurantes sugeridos son de muy buena calidad.
5475,excepcional
5476,excepcional
5477,excepcional
5478,excepcional
5479,"¡Gran hallazgo en el centro de Valencia! excelente personal, limpieza, servicios!"
5480,el mejor
5481,excelente experiencia
5483,realmente recomendado!
5484,excepcional
5485,Muy bonito hotel en el centro de Valencia.
5486,Creo que no se puede pedir nada mejor a este precio.
5487,todo perfecto
5488,excepcional
5489,"estancia fantástica, definitivamente vale la pena."
5490,Recomiendo este hotel
5491,Maravillosas vacaciones en una ubicación privilegiada para explorar la ciudad y el personal está al tanto de todo.
5492,maravilloso
5494,excepcional
5495,excepcional
5497,¡Excelente ubicación y por un buen precio!
5498,excepcional
5499,excepcional
5500,gran estancia para descubrir la ciudad
5501,"Todo fue muy bonito, hotel en el centro, personal amable y capacitado, habitación espaciosa y limpia."
5503,excepcional
5504,excepcional
5506,un hotel fantástico para visitar valencia
5507,lo pasé muy bien
5508,"Hotel en una ubicación fantástica, personal amable, excelente desayuno a un precio asequible."
5509,excepcional
5510,un hotel de dos estrellas que vale mucho más..
5511,"Estuvo muy bien, faltaba la piscina."
5512,estancia inolvidable
5513,la ubicación perfecta de este hotel para explorar la ciudad de valencia
5514,Fantástico hotel tanto en términos de estética como de ubicación. Excelente habitación también y la vista era interna. La habitación era hermosa.
5515,"Gran semana en Valencia, este hotel es muy recomendable!"
5516,estancia agradable
5517,base perfecta para descubrir Valencia!
5519,alojamiento perfecto
5522,super hotel con buen desayuno en la ubicación perfecta
5523,estancia espectacular. muy recomendable!
5524,Valencia es fantástica y el Hotel Venecia ayuda a que así sea
5526,me sentí absolutamente cómodo
5527,excepcional
5528,"Ubicación muy céntrica, muy limpia y muy cómoda además la habitación con lockers para dejar tu equipaje en caso de necesidad."
5531,limpio y cómodo. enfriar.
5532,una maravilla!
5533,"Ubicación perfecta, desayuno de alta calidad y habitaciones bien cuidadas, bien amuebladas y limpias."
5536,excepcional
5537,Hotel en Venecia en el corazón de la ciudad.
5538,recomendado
5539,excelente
5540,excepcional
5541,excepcional
5542,excepcional
5543,excepcional
5544,Está bien
5545,"Excelente, se lo recomiendo a todos."
5547,perfecto y acogedor hotel urbano en Valencia
5548,Fue un gran viaje a la ciudad y puedo recomendar el hotel con la conciencia tranquila.
5549,estancia perfecta. Volvería a reservar la próxima vez.
5550,excepcional
5552,excepcional
5553,excepcional
5554,ideal para explorar el centro
5556,excepcional
5557,"ubicación, desayuno, cama, ducha todo es excelente"
5558,excepcional
5559,perfecto
5560,excepcional
5561,excepcional
5562,excelente
5563,excelente
5564,escapada de pareja a la ciudad.
5565,excepcional
5566,excelente lo recomiendo 100
5567,excepcional
5568,excepcional
5569,¡excelente!
5571,hotel super bonito y limpio en muy buena ubicación
5572,Alojamiento limpio y fresco en el centro de la ciudad con un personal amable y servicial. Lo recomendaré a otras personas.
5573,maravillosa estancia en el corazón de valencia
5574,grasias perfectas
5578,excepcional
5579,"Lo pasé muy bien en Valencia. El hotel es muy bonito, bonita habitación espaciosa y delicioso desayuno."
5581,genial para un viaje a la ciudad
5583,todo perfecto
5584,estupendo
5585,hotel muy bonito y muy limpio. personal extremadamente amable.
5586,"hotel ideal, casi perfecto de clase media"
5587,¡La estancia fue genial!
5588,excelente estancia
5589,.          - !
5590,vale más estrellas
5591,Tuvimos una estancia maravillosa!!!!
5592,excepcional
5593,excepcional
5594,mamá de vacaciones y su chica!
5595,excepcional
5596,¡No podríamos haber elegido un hotel mejor!
5598,excelente
5599,super hotel en una ubicación perfecta
5600,"Espectacular sala, habitación grande y tranquila en el 7mo piso, agua gratis en el pasillo."
5601,nosotros con 2 niños valencia centro
5602,fin de semana de padre e hija
5603,excepcional
5604,Bien
5605,excelente ubicación hotel limpio
5606,maravillosa estancia en Venecia Plaza Centro
5607,¡¡súper!!
5608,hermoso hotel en el corazón de la hermosa ciudad de valencia
5609,gran hotel
5610,excepcional
5611,Buen hotel tanto para uso privado como de negocios.
5613,"excelente hotel, aparte de los incómodos colchones y almohadas, excelente ubicación y personal amable"
5614,excepcional
5615,excepcional
5616,Está bien
5617,recomendar
5618,estancia agradable y confortable.
5619,estancia muy agradable a un precio asequible!
5620,excelente hotel muy bien ubicado y limpio
5621,"bien ubicado, gran servicio"
5622,excepcional
5624,hotel con una excelente ubicación.
5625,perfecto
5626,hermoso hotel en una hermosa ubicación. habitaciones muy limpias y cómodas. ¡¡¡recomendado!!!
5628,"valencia, una ciudad que te sorprende absolutamente."
5629,Hermoso y agradable hotel en una ubicación privilegiada.
5630,Hermoso
5631,excepcional
5632,Óptimo
5633,excepcional
5634,"perfecto, para cultura, playa, ideal para 3-5 días."
5635,Todo el confort en una excelente ubicación y buenos empleados.
5636,excelente estructura elegante
5638,excepcional
5639,experiencia increíble!
5642,Viajo con familiares y amigos.
5643,central y puedes llegar a todas partes
5644,excepcional
5646,muy satisfecho
5647,"Excelente ubicación, limpieza y muy buen servicio por parte del personal de recepción."
5648,estancia ideal en el centro de la ciudad
5649,El hotel está en una ubicación perfecta para explorar Valencia a pie.
5650,excepcional
5651,excelente hotel justo en el centro.
5652,hermoso hotel en excelente ubicación!
5653,estancia perfecta en valencia
5654,excepcional
5655,muy amable
5656,"genial, muy recomendable!"
5657,excepcional
5658,excepcional
5659,"todo estuvo bien. Realmente se puede recomendar, pero la próxima vez elegiré un hotel con un poco más de espacio."
5660,una curiosidad por que el hotel tiene 2 estrellas y no mas?
5661,vivir en el corazón de valencia
5662,fabuloso
5663,hermosa ciudad hotel perfecto
5664,excelente hotel.
5665,"Muy buen hotel, lo reservaré más a menudo."
5666,súper
5667,Definitivamente vendré aquí de nuevo.
5668,Nos sentimos muy cómodos aquí y definitivamente regresaremos.
5670,excepcional
5671,excepcional
5672,excepcional
5673,súper !
5675,¡perfecto! :
5676,excelente viaje
5677,excelente hotel
5678,"Estructura impecable, ideal para visitar Valencia!"
5680,directo al corazón de la ciudad
5682,excepcional
5683,ottimo hotel in plaza del ayuntamiento
5684,Disfrutamos de Valencia desde Venice Plaza.
5685,fantástico
5686,excepcional
5688,excelente hotel
5689,¡excelente! vale la pena repetir
5691,ubicación perfecta
5692,fin de semana con amigos
5693,excepcional
5695,excepcional
5697,una estancia muy agradable
5698,¡La ubicación no podría ser mejor! encantador hotel en el centro de la ciudad
5699,arriba
5700,Perfecto.
5701,Fantástico y muy recomendado para muchos.
5703,excelente.. muy recomendable cerca del centro.
5704,Hostal de 2 estrellas pero vale 4
5705,escapada a valencia
5707,hotel superior en una buena ubicación
5708,excepcional
5710,Hermoso
5712,¡perfecto!
5713,dentro de la ciudad histórica y con la comodidad de un gran hotel.
5715,Gran hotel en una ubicación perfecta.
5716,hotel asequible en el centro de valencia
5717,excelente ubicación para visitar la ciudad
5718,excelente estancia
5719,muy satisfecho
5720,excepcional
5721,bonito hotel y buena ubicación
5723,ubica y cordialidad
5724,"Hotel perfecto en el centro del casco antiguo, en la plaza central, a muy buen precio."
5725,absolutamente genial!
5726,excepcional
5727,estancia en el corazón de valencia
5728,Bonito hotel en una gran plaza.
5729,"centro tranquilo, a poca distancia de todas las atracciones"
5730,"un hotel comodo, bonito y acogedor"
5731,excelente
5732,"bonito hotel, buena ubicación!"
5733,excepcional
5734,excepcional
5735,¡Simplemente perfecto para un fin de semana!
5736,excelente estancia
5737,¡secuestros!
5738,estancia maravillosa
5741,hotel a un paso de todo
5742,Hotel de 2 estrellas con aire de 4 estrellas.
5743,excepcional
5744,personal y limpieza
5747,arriba
5748,¡aconsejado!
5749,hermosa estancia en valencia con mi hijo de 8 años
5752,excepcional
5753,solo puedo recomendarlo
5754,excepcional
5755,¡Gran ciudad pero amigable para los viajeros! tantas atracciones y tanto arte
5757,me encantó
5758,Preciosa casa modernista en pleno centro
5759,merece la tercera estrella!
5760,excelente hotel en la mejor ubicación
5761,Muy buen hotel y personal.
5762,excepcional
5764,excepcional
5765,el hotel perfecto para un viaje a la ciudad
5766,excelente ubicación del hotel
5767,arriba
5768,excelente en todo!
5769,muy recomendable!
5771,excepcional
5772,Excelente estancia en una ubicación privilegiada.
5773,habitaciones muy cómodas en un bonito hotel
5776,excepcional
5777,¡la solución perfecta!
5778,muy lindo!
5779,Maravilloso
5780,Fantástico
5781,excepcional
5782,"excelente hotel para visitar la ciudad, prácticamente todo a un máximo de 10-15 minutos a pie"
5783,excelente hotel
5785,excepcional
5789,un hotel de dos estrellas que realmente merece más
5790,"en el centro de Valencia, con excelente relación calidad-precio."
5791,excelente
5793,Hotel de 2 estrellas con calidad de 3 o más.
5794,excepcional
5795,excepcional
5796,arriba
5797,excelente
5798,Muy recomendable por ubicación y limpieza.
5799,todo bien!
5802,lo recomendaría
5803,fantástico hotel en una hermosa ubicación en la pl. del ayuntamiento
5804,bonito hotel en una ubicación fantástica
5805,"Excelente hotel, definitivamente recomendado."
5806,simplemente perfecto
5809,Recomendado: buena ubicación y muy limpio.
5810,súper recomendado
5811,excepcional
5812,excelente hotel muy bien ubicado.
5813,perfecto
5814,excepcional
5815,"excelente ubicación, muy amable, limpio, muy ruidoso"
5816,fantástico
5817,Hermoso
5818,momento emocionante e impresionante durante las pre-fallas
5819,muy buena ubicación
5820,¡Dos días fabulosos!
5821,Tuve una estancia fantástica.
5822,excepcional
5823,Óptimo
5824,maravillosa aventura
5825,excepcional
5827,el mejor hotel en una excelente ubicación
5828,apariencia lujosa en el corazón del centro
5829,"céntrico, lujoso y económico!"
5830,excepcional
5831,fantástico
5832,céntrico y moderno con una vista increíblemente linda.
5833,
5834,viaje a la ciudad
5835,"Excelente ubicación, limpieza impecable y muy buen desayuno."
5836,Gran hotel para una visita de fin de semana!
5838,dos palabras todo perfecto
5839,hermoso fin de semana
5840,excepcional
5841,excepcional
5842,Lo he visto porque no es frecuente en España. La próxima vez intentaré algo diferente.
5843,estancia excepcional!
5844,maravilloso hotel en el centro de valencia
5845,viaje a la ciudad después de unas largas vacaciones
5846,una estancia especial
5847,au ubicación excepcional en el centro.
5849,¡Todo lo que necesitas!
5850,excepcional
5851,excepcional
5852,Recomiendo el hotel a todo el mundo.
5853,¡excelente!
5854,excepcional
5856,arriba
5857,excepcional
5859,mucho más que un 2 estrellas
5861,enmarcar
5862,excepcional
5864,excepcional
5865,lo recomiendo
5867,todo está bien
5868,si vuelvo volveré aquí
5872,personal super limpio y amable
5873,"Hotel perfecto, lástima que llovió toda la semana."
5874,
5875,gran estancia cara sonriendo
5876,excepcional
5877,"En general podemos recomendar el hotel. La limpieza está al más alto nivel, al igual que la cama."
5878,"pulgar hacia arriba .       ,                      !"
5879,fue fantástico.
5880,excepcional
5881,¡agradable!
5882,muy bien
5883,"Ubicación perfecta, hermosa habitación con vistas, muy limpia."
5884,muy bien
5885,Excelente ubicación en el corazón de Valencia!
5886,fin de semana en valencia
5887,Muy buen hotel en una bonita ubicación central.
5888,excepcional
5889,increíble... un 2 estrellas que vale al menos 4
5890,excepcional
5891,"Ubicación ideal. Habitaciones muy limpias y espaciosas, con todas las comodidades. hermosa vista de la plaza"
5892,fantástico hotel en una hermosa ubicación!
5893,excepcional
5894,excepcional
5895,¡muy lindo!
5896,excepcional
5898,excepcional
5899,excelente
5901,schön
5902,justo en el centro. todo a tu alcance. cortesía y limpieza.
5903,excepcional
5904,"Con mucho gusto volveré en cualquier momento, este hotel supera incluso mis experiencias de 3 o 4 hoteles en VLC."
5905,todo perfecto!
5906,excepcional
5907,Teníamos una habitación para 4 personas con una hermosa vista. La ubicación no podría ser mejor. cerca del metro y comercios.
5908,arriba
5909,no podríamos haber pedido algo mejor
5910,excepcional
5911,fantástica ubicación
5912,excepcional
5914,un cuento de hadas
5915,una joya en el centro
5916,excepcional
5917,un fin de semana feliz
5919,"Muy lindo hotel con cómodas habitaciones, delicioso desayuno para empezar el día."
5920,excepcional
5921,excelente experiencia
5922,"Excelente ubicación no podría ser mejor, habitación siempre impecable, personal profesional y muy amable. desayunos"
5924,Disfruté de Valencia en un bonito hotel en una ubicación privilegiada.
5925,maravillosa estancia para deshacerse de la tristeza del invierno
5927,"Muy recomendable, ¡no se puede estar más céntrico!"
5928,excepcional
5929,excepcional
5930,hotel muy recomendado
5931,excepcional
5932,súper
5933,¡Un lugar digno de recomendar! ¡Nos gustaría volver aquí de nuevo!
5934,muy exitoso
5935,excepcional
5936,", !"
5937,excelente hotel en el centro de valencia
5938,Todo el hotel luce fenomenal y la estadía fue perfecta.
5939,excepcional
5940,gran lugar
5941,excepcional
5942,gran hotel en una ubicación fantástica!
5943,5 días en valencia
5944,quédate en el centro
5945,Fin de semana perfecto en la maravillosa Valencia y una estructura para recomendar.
5946,¡Gran estancia en Valencia durante la víspera de Año Nuevo!
5950,excepcional
5951,increíble relación calidad-precio
5952,muy buen hotel
5953,"¡Perfecto, ubicación perfecta, personal perfecto, habitación perfecta y perfectamente limpio en la cima!"
5954,excepcional
5956,4 días en valencia
5957,Fantástico
5959,lo que esperábamos
5960,excepcional
5961,excepcional
5962,práctico
5963,¡Gracias a la ubicación y cortesía mi hija y yo disfrutamos nuestra visita a Valencia!
5964,fenomel a
5965,¿Por qué sólo dos estrellas?
5966,súper hotel
5967,bonito hotel en una ubicación central
5968,Valencia vale la pena el viaje.
5969,excepcional
5970,Óptimo
5971,excepcional
5972,arriba
5973,muy bien situado
5974,excepcional
5975,excelente ubicación
5976,excepcional
5977,excepcional
5978,"El hotel se puede recomendar, relación calidad-precio."
5979,súper hotel en súper ubicación
5980,excelente.
5981,"Aspecto muy atractivo, por dentro y por fuera. equipamiento y diseño de primer nivel."
5982,excelente ubicación en el centro
5983,parte superior del emplazamiento
5984,un fin de semana de relax
5985,"¡¡Unos agradables días pasados ​​en Valencia entre sol, mar y tapas!!"
5986,Perfecto
5987,una estancia inolvidable
5988,Hotel cómodo y bien ubicado.
5989,Perfecto para interrumpir tus vacaciones
5990,excepcional
5991,3 grandes dias
5992,"Hermosa estructura en el centro, personal muy limpio, amable y capacitado. nuestra habitación era espaciosa y estaba equipada con"
5993,excepcional
5994,maravilloso
5996,Fantástico
5997,Valencia a tu alcance
5998,estancia superior
5999,Perfecto. merece más de 2 estrellas!
6000,hotel per repetir
6002,vista impresionante y ubicación muy central
6003,exitosas vacaciones de Año Nuevo.
6004,excepcional
6005,excepcional
6007,lo disfruté muchísimo
6008,excepcional
6009,realmente bueno.
6010,excepcional
6011,excepcional
6012,"Estancia perfecta, más allá de las expectativas."
6013,¡súper!
6014,excepcional
6015,"Excelente alojamiento, excelente ubicación, todo limpio como debe estar un apartamento."
6016,"Ubicación 10, limpieza 9, sábanas de calidad, se agradece el microondas y la cafetera."
6017,excepcional
6020,excelente experiencia
6021,estancia de 5 estrellas
6023,parfait
6024,un dos estrellas que merece cuatro
6025,todo excelente
6026,un fin de semana perfecto en el corazón de valencia
6027,Hotel bellamente renovado en el corazón del centro de la ciudad.
6028,", , , 5"
6029,muy divertido
6030,muy bien
6031,gran hotel en una ubicación privilegiada!
6032,fin de semana de diciembre
6033,excelente pero...
6034,¡Un auténtico 4 estrellas!
6035,punta superior
6036,semana en valencia
6038,gran estancia en valencia
6039,", , ."
6040,"en la plaza central de Valencia, cerca de todo"
6041,Óptimo
6042,"Un super hotel, ¡dos estrellas no son suficientes!"
6043,excepcional
6045,excepcional
6046,muy buena estancia de fin de semana
6050,"Ve allí con los ojos cerrados, ¡no te decepcionarás! ¡Recomiendo mucho este hotel!"
6051,fantástico
6052,excepcional
6053,excepcional
6054,hermosa estancia
6055,todo impecable! ubicación perfecta para visitar valencia!
6056,"estancia maravillosa, personal increíblemente amable"
6058,excepcional
6059,excelente
6060,¡más allá de las expectativas!
6061,"Absolutamente recomendado, si vuelvo a Valencia volveré a reservar este hotel."
6062,excepcional
6063,estancia de 5 estrellas
6064,un agradable descanso en la ciudad en un bonito hotel en una buena ubicación.
6065,estancia muy agradable
6066,¡Me sentí muy cómodo y estaría feliz de volver y recomendarlo a otros!
6067,¡Me encantaría volver!
6069,hotel ideal para una estancia en Valencia!
6070,excepcional
6071,escapar de la monotonía
6072,excepcional
6073,"Lamentablemente es demasiado breve, definitivamente vale la pena repetirlo."
6074,En general quedamos muy satisfechos.
6075,excepcional
6078,"Recomiendo este hotel. en cuanto a ubicación, limpieza y servicio.  Desayuno sin reservas: gran selección y sabroso. pequeño"
6080,No esperaba un precio tan bueno para un hotel en el punto 0 de Valencia.
6081,excepcional
6083,excepcional
6084,Está bien
6085,simplemente perfecto!!!
6086,excepcional
6087,perfecto
6089,agradable y hermoso en el centro
6095,mejor hotel en el centro de valencia
6097,¡arriba!
6098,"Hotel perfecto para visitar Valencia, cerca de todo."
6099,estancia en el corazón de valencia
6100,excepcional
6101,super hotel en una ubicación increíble
6102,Gran estancia en esta hermosa ciudad.
6104,muy bien
6105,excepcional
6106,excepcional
6108,una de las mejores opciones de alojamiento en Valencia
6109,hotel muy recomendado
6110,hermosa valencia
6111,"Hotel muy bonito, céntrico en el centro de la ciudad."
6112,excelente hotel céntrico
6113,perfección
6114,excepcional
6115,"excelente ubicación. todos los lugares de interés están a pocos minutos a pie. hotel limpio, excelente desayuno variado."
6117,maravilloso
6119,maravilloso
6120,"hermosa estancia. Hotel bonito, limpio y moderno con comodidades que no encontré ni en el 3s4."
6123,muy buen hotel en el centro de valencia
6124,excepcional
6125,excepcional
6126,excepcional
6127,unos dias pero buenos y preciosos
6128,en una palabra; gran hotel! precio calidad excelente!
6129,hotel ideal para visitar la ciudad a pie
6130,muy buen hotel en una ubicación fantástica
6131,"Gran estancia en una ciudad muy agradable, lo recomiendo."
6132,yo volveria
6134,excepcional
6135,maravilloso
6136,muy buen hotel vale cada centavo
6137,excepcional
6138,
6140,¡maravilloso!
6141,"Hotel en posición estratégica, muy céntrico y con parking de taxis muy cerca."
6143,excepcional
6144,súper
6145,Podemos recomendar este hotel con seguridad y estaremos encantados de volver.
6147,"por encima de todas las expectativas, especialmente para un hotel de dos estrellas."
6148,Pasamos un rato agradable.
6149,Ubicación perfecta en un hermoso hotel!
6150,excepcional
6151,excepcional
6153,buena ubicación cerca
6154,Fantástico
6155,Delicioso
6157,arriba
6158,fantástico fin de semana en valencia
6159,mucho mejor que dos estrellas
6161,Me gustó mucho. especialmente la ubicación.
6162,perfecto para una estancia en el centro de la ciudad
6163,hotel perfecto
6164,hotel básico en excelente ubicación
6165,"Hotel en una excelente ubicación, habitación muy pequeña, pero ideal para 1-2 noches."
6166,"Genial, aprovechamos al máximo esta preciosa ciudad de Valencia llena de encanto."
6167,
6168,Gran hotel para un viaje a la ciudad de Valencia.
6169,hermoso hotel
6170,excepcional
6171,Un hotel muy recomendable en un bello entorno.
6172,encuentra el perfecto.
6173,gran estancia
6174,una muy buena elección
6175,prima
6176,imperdible
6177,¡Un hotel de primera en una ubicación privilegiada!
6178,¡Perfecto y cómodo para un viaje a la ciudad!
6179,hotel para recomendar
6180,una excelente estancia.
6181,desayuno delicioso súper agradable y buena ubicación central
6182,comodidad y ocio!
6183,bonito hotel y muy céntrico
6184,un viaje agradable y memorable
6185,¡Un lugar privilegiado para un viaje a la ciudad de Valencia!
6187,excepcional
6188,excepcional
6189,excepcional
6190,excepcional
6191,excelente
6192,en el corazón de valencia
6193,hotel
6194,completamente satisfecho cara sonriendo
6196,regresar
6197,¡fantástico!
6198,Citibreak muy agradable en el hotel venecia plaza.
6200,¡Ubicado en el centro y conveniente para todo!
6203,excepcional
6204,agradable
6206,súper
6207,ser repetido
6208,súper
6209,excelente hotel en una hermosa ubicación.
6210,fantástica ubicación
6211,excepcional
6212,excepcional
6213,elección perfecta!
6214,absolutamente recomendado!
6215,Fantástico
6216,excepcional
6218,disfrutamos la estancia
6219,Definitivamente merece más de dos estrellas.
6220,¡Delicioso!
6222,excelente ubicación para visitar la ciudad
6223,excelente
6224,más que un dos estrellas
6226,"maravilloso, volver otra vez pulgar hacia llegar"
6227,excepcional
6228,excepcional
6229,excepcional
6230,perfecto
6231,excepcional
6232,muy linda experiencia en este hotel
