,negativo
4054,nada
4056,"En general me gustó todo sobre el hotel, pero lo único negativo que puedo mencionar es la lentitud del ascensor."
4057,"No es una verdadera crítica, pero nuestra habitación no tenía luz natural y las dos ventanas daban a las paredes. Al hacer el registro de salida, el personal dijo que si volvíamos a reservar, les enviaríamos un correo electrónico y tratarían de darnos una habitación con balcón, sin paredes y con luz natural. No hizo que nuestra estancia fuera menos placentera, pero es bueno saber que el personal podría solucionar esto la próxima vez, ya que viajamos a Valencia todos los años. Nos prometieron un buen precio la próxima vez cara radiante con ojos sonrientes"
4060,n / A
13,en general todo me gustò.
2179,me gustó todo
2344,el ascensor extremadamente lento
2684,me gustó todo
3252,comodidades muy limitadas
4061,"El aire acondicionado solo llegó a 24 debido a las reglas de la ciudad, las almohadas son un poco firmes pero aún así están bien."
4062,nada
4063,"El olor en la recepción es demasiado químico. El desayuno es un poco caro, pero hay un lugar increíble llamado ddl boutique a la vuelta de la esquina."
4064,nada. fue genial.
4065,un poco caro.
4067,nada
4070,"Lo único negativo, y realmente estoy llegando hasta aquí para encontrar algo, fue que los ascensores eran muy lentos. Si no hubiéramos estado en el sexto piso, habríamos tenido muchas más escaleras. pero realmente soy yo tratando de encontrar algo negativo que decir. el hotel fue realmente impresionante."
4072,nada
4073,No hay aparcamiento en el centro.
4074,Elijo una habitación barata por conveniencia ya que solo dos noches. Era barato porque la vista era una pared; no me quedaría si buscaba una vista pero una excelente ubicación.
4075,ninguno
4076,nada fue genial.
4077,"Las mesitas de noche tenían esquinas muy afiladas sin protectores en las esquinas, debían ser reemplazadas, no había botella de agua gratis a la llegada."
4078,las habitaciones son muy pequeñas
4080,"Sinceramente, nos gustó todo y nos alojaríamos allí de nuevo."
4083,uno de los ascensores no funcionaba
4084,"El café en el desayuno estuvo bien a pesar de que tienen diferentes máquinas que funcionan tanto con granos como con cápsulas, también servían café filtrado. No hay agua embotellada en el servicio de habitaciones. debes comprarlo en las máquinas expendedoras por un euro o llenar tu botella gratis en una máquina en el lobby."
4086,No tenía soplador en el baño.
4088,tuviste que pagar el desayuno
4089,La habitación era un poco pequeña y solo tenía una silla.
4090,"Tenía la impresión de que había 4 camas en total en el apartamento, pero solo había 3. No fue gran cosa y mi grupo estuvo de acuerdo con eso."
4091,nada
4092,nada
4093,nada
4094,que uno de los ascensores no funcionaba y eran pequeños
4097,"Había una mini nevera con artículos ya dentro, sin embargo, no tenía mucho espacio para poner nuestras propias botellas de agua o queso. Además, no mantuvo las cosas muy tranquilas. No me gustó que se cortara toda la luz en la habitación después de sacar la llave de la habitación. el ventilador se apagaba y la habitación se calentaba mientras estábamos fuera."
4098,"La ducha no tenía una puerta adecuada, por lo que era difícil evitar que el agua llegara al suelo del baño. Para ahorrar energía, el aire acondicionado no funcionaba cuando no estabas en la habitación. por lo tanto, hacía mucho calor todas las noches cuando regresé."
4099,"El wifi fue lo único que pensamos que era un problema, una señal débil y solo tenían 1 ascensor en funcionamiento durante nuestra estancia. Realmente no nos importó, pero pude ver que a otros quizás no les gustara tener que esperar más tiempo para tomar el ascensor."
4100,"de los dos ascensores para huéspedes en la propiedad, solo uno funcionó y, por lo que reunimos, el ascensor para empleados tampoco funcionó, por lo que los empleados y los invitados tuvieron que compartir el único ascensor que estaba funcionando, lo que puede complicar las cosas logísticamente, a veces esperamos el ascensor hasta 15 minutos."
4101,Lástima que no conseguimos nuestras dos habitaciones reservadas en el mismo piso.
4102,"Nuestra reserva fue en el último minuto y la única habitación que quedaba no tenía ventanas y era cara. No necesariamente es culpa del hotel, pero recomendamos reservar con anticipación para obtener un mejor precio y asegurar una habitación con ventana."
4104,perfecto
4105,fuertemente perfumado con ambientador en el vestíbulo.
4107,El único problema fue que el wifi era un poco lento.
4108,"No mucho, gran hotel. personal encantador. ubicación fabulosa."
4109,nada malo que decir.
4110,"En el momento en que estuvimos allí, solo funcionaba un ascensor y provocó algunos retrasos."
4111,almohadas... incómodas. Sería bueno tener otra opción. La nevera no mantenía fríos algunos objetos pequeños.
4112,nada
4113,que solo funcionaba un ascensor ya que el otro estaba averiado
4115,nada de qué quejarse en absoluto
4117,nada que no me guste
4118,El café no se repone a menos que se solicite cada día.
4121,"escaleras oscuras y pequeños ascensores, uno de ellos estaba siendo utilizado para la construcción."
4122,levante lento. uno fuera de servicio. No hay jabón disponible para bañarse.
4123,Un punto débil: señal wifi realmente débil.
4125,"Uno de los dos ascensores estaba fuera de servicio. Debido a las restricciones de tráfico, no hay lugar para cargar y descargar equipaje frente al establecimiento, pero eso no es culpa del hotel."
4126,nada
4128,bañera muy resbaladiza
4130,nada que no me guste.
4131,La habitación estaba situada en el patio interior y era ruidosa. No había posibilidad de oscurecer completamente la habitación ya que la cortina era muy transparente.
4134,es un hotel de 2 estrellas
4136,"Hubiera preferido la opción de incluir el desayuno con la reserva original en lugar de pagar sobre la marcha, pero es un pequeño problema."
4137,ya
4138,"La habitación es muy pequeña y especialmente el baño. No puedes estar ahí con 2 personas. Además la cama es pequeña para 2 personas. El colchón y las almohadas están bien, pero podrían ser mejores."
4139,nada
4140,"Sería útil tener una tarjeta de instrucciones con la caja fuerte en la habitación. Me he alojado en muchos hoteles y he usado muchas cajas fuertes y nunca tuve el problema de que la caja fuerte aceptara mi número pero no pudiera abrirla al día siguiente. El personal fue muy servicial y tiene una llave, pero nos dio la impresión de que tienen que hacer esto con frecuencia."
4143,La ventana de la habitación económica daba a un patio estrecho. pero sabía que este era el caso. no fue ninguna molestia.
4144,nada que no me guste
4146,las almohadas eran duras
4147,Realmente no hay nada que no hayamos apreciado de nuestra estancia y de nuestra habitación en general. así que sigue así!
4148,wifi muy pobre
4149,unas cuantas bolsitas de té más no habrían estado de más
4150,nada en absoluto
4151,La nevera de la habitación estaba vacía.
4152,nada
4154,"No tengo problemas con su hotel ni con el personal. sin embargo, el callejón adyacente al hotel tiene un hedor abrumador a vagabundos, personas sin hogar y orina."
4155,"Nada, fue fantástico en todos los sentidos."
4162,nada
4163,la habitación es un poco pequeña
4164,todo estuvo bien.
4167,"No hay nada que pueda decir negativo sobre este hotel, el personal o las hermosas áreas circundantes."
4168,"Un poco difícil de encontrar, dejamos el coche en un aparcamiento subterráneo y luego caminamos hasta el hotel. el navegador satelital no pudo encontrarlo"
4169,nada que no me guste.
4170,nada
4171,No puedo quejarme de nada.
4172,ruido
4174,"Solo sugeriría que si reserva algo que no sea una habitación con vista a la ciudad, tenga claro lo que obtendrá."
4175,"el olor característico en el vestíbulo es un poco abrumador. No pudimos encender el aire acondicionado en la habitación, el hotel aún no lo había encendido porque era temprano en la temporada, nos hubiera venido bien que funcionara ya que el ruido afuera con las puertas abiertas era difícil dormir."
4176,Lo único que no disfrutamos fue que la llave de nuestra habitación no funcionaba todo el tiempo y tuvimos que seguir adelante y conseguir una nueva.
4177,nada
4180,La habitación en el sexto piso era un poco alta para sentirse cómoda. Sentado en el balcón.
4181,"a la habitación le faltaba un calzador, pero podría ser el único que lo necesitara;   . Y me hubiera gustado recibir una botella de agua gratis a mi llegada."
4182,"las habitaciones necesitan ser modernizadas. Teníamos una habitación trasera, las ventanas daban a una pared. El baño era moderno y las camas muy cómodas, pero la habitación necesitaba algunas reformas en su decoración."
4184,"No había abridor de botellas para bebidas en el refrigerador, las tazas eran demasiado pequeñas, muy malas sobre la cantidad de café y té gratis que había en la habitación."
4185,"la habitación era un poco pequeña, nuestros amigos de 2 puertas más abajo eran más grandes."
4187,perfecto para lo que queríamos
4188,nada
4189,"La habitación triple no tenía balcón y daba a una pared, pero creo que así es como están configurados ese tipo de habitaciones. Si quieres un balcón solicita uno."
4190,el mismo brunch todos los días.
4191,"Las puertas eran bastante pesadas pero no estaban insonorizadas, por lo que otras personas en el pasillo podían cerrarlas, tampoco bloqueaban el ruido."
4192,nada
4194,nada
4195,absolutamente nada
4196,"Aunque finalmente obtuvimos respuestas a nuestras preguntas, el personal a veces se mostró un poco distante. Nos alojamos en otros hoteles en España y el personal de otros lugares estaba muy dispuesto a ayudar. En este establecimiento tenías mucha presión para obtener respuestas a tus preguntas."
4198,nos encantó.
4199,nada
4200,n / A
4202,nada
4203,"Nos dieron un balcón pero tenía una unidad de aire acondicionado, el único sin sillas para sentarse. Como era fin de semana, estaba completo y no podía moverme. Habitación muy compacta pero no arruinó nuestra estancia."
4204,nada
4205,todo estuvo bien
4206,nada
4207,nulo
4208,nada todo estuvo genial
4209,habitaciones diminutas
4211,nada
4212,
4214,habitación un poco más pequeña de lo esperado
4217,La habitación era un poco más pequeña de lo que esperaba.
4221,nada
4222,la habitación era pequeña
4223,Los ascensores eran un poco lentos y a veces había que esperar para llegar al octavo piso.
4227,Tener que pagar un euro para guardar las maletas me pareció un poco extraño. la mayoría de los hoteles ofrecen este servicio de forma gratuita
4228,"La habitación podría haber sido un poco más grande, pero dada la ubicación muy céntrica y el edificio antiguo, entendemos por qué esto sería complicado."
4229,nada
4230,Me gustó todo
4231,absolutamente nada
4232,"La habitación era un poco pequeña y teníamos 3 maletas. por otro lado, no pasamos mucho tiempo en la habitación mientras estábamos explorando."
4233,Reservaría una habitación exterior la próxima vez.
4235,la habitación era pequeña
4236,ducha de baño resbaladiza.
4237,No hay leche para el café en la habitación.
4238,absolutamente nada. no pude encontrar una falla
4240,El tamaño era muy pequeño.
4241,"Algo de ruido procedente de otras habitaciones, pero sólo por la mañana, así que no estaba tan mal."
4242,nada
4243,Hacia un poco de ruido por las noches en el pasillo.
4245,Balcón pequeño pero el edificio es histórico y cambiarlo sería un sacrilegio.
4248,nada
4250,habitaciones bastante caras bastante calor
4252,"Los ascensores eran pequeños y podían ser lentos. Las paredes de las habitaciones eran excepcionalmente delgadas, por lo que cualquiera que hablara en el pasillo o en otra habitación literalmente sonaba como si estuviera en su habitación."
4254,"Aquí puedes ver todo, desde las otras habitaciones, el vestíbulo, etc."
4258,Nada... ¡¡¡Me encantó todo!!!
4260,Me hubiera gustado un poco de agua de cortesía en la habitación. El aislamiento acústico entre habitaciones podría ser un poco mejor.
4266,no habia nada que no me gustara
4269,mascleta vistas cerca de todo
4271,zona de bar un poco pequeña
4272,"Reservé en octubre y solicité una habitación doble, cuando llegamos nos pusieron en una habitación doble, la recepción dijo que no había camas gemelas disponibles, compartir una cama doble estándar con mi colega no era la experiencia que estaba buscando, por eso reservé con anticipación."
4274,precio del desayuno no hay suficientes bolsitas de azúcar y café
4275,nada
4277,Nos gustó todo lo ofrecido por el precio.
4281,todo estuvo bien.
4282,"¡Nuestra única queja fue sobre la máquina de café! aunque fue agradable tener uno y no todos los hoteles españoles producen bebidas tibias. las monodosis de café y las bolsitas de té no se reemplazaban todos los días, lo cual era molesto. sin embargo, esto no es un gran inconveniente."
4283,"no hay nada que no nos haya gustado. Sin embargo, posiblemente sea importante para algunas personas el hecho de que las habitaciones que dan a la plaza reciben todo el ruido de una plaza concurrida, si se quiere abrir la puerta. pero la habitación tiene puertas dobles para evitar el ruido, así que si estás contento de mantener la puerta cerrada, estás bien, ¡o simplemente vive con los bulliciosos sonidos de Valencia como lo hicimos nosotros y deja entrar el aire fresco! :-"
4285,"La recepción a su llegada fue un poco fría, ¡pero pareció calentarse en los días siguientes! Se estaban realizando obras de construcción en una habitación adyacente que no era demasiado intrusiva durante el día, pero que la recepción no mencionó cuando debería haber sido."
4286,todo está bien.
4288,"El único inconveniente fue que la pared entre nosotros y la habitación de al lado parecía bastante delgada, o tal vez nuestros vecinos hablaban en voz alta."
4292,Tuve que irme temprano... no había oportunidad de desayunar.
4295,no se me ocurre nada...
4296,"construcción en la habitación de nuestro piso, pero tenemos mucho cuidado de comenzar tarde y terminar temprano y un ascensor fuera de servicio; esas eran las únicas distracciones."
4300,nada
4301,"Había 3 máquinas de aire acondicionado afuera en mi balcón, por lo que no se podían usar si quería usar el balcón aparte de eso, nada."
4302,"Estábamos en el primer piso de la calle, así que podíamos escuchar el ruido de la calle por la noche. El balcón era bastante pequeño. En un viaje de regreso que definitivamente sucederá, solicitaremos una habitación en un piso superior."
4303,"Nuestra habitación estaba al lado del armario de la limpiadora, todas las mañanas a las 08:00 se hacía mucho ruido."
4304,¡La ducha es muy resbaladiza como una pista de hielo! ¡El único inconveniente ya que todo lo demás fue perfecto!
4306,El ascensor es un poco lento pero aún así está bien.
4307,nada que no me haya gustado todo muy bueno
4310,todo fue genial
4312,La habitación era un poco pequeña.
4313,Fue una lástima que no nos dieran la opción de hacer el check out más tarde. Cara de confusión.
4318,"Nada, todas las comodidades eran excelentes."
4319,nada
4321,nada
4323,todo está bien
4324,como todo
4326,"el hecho de que el restaurante estaba cerrado por reformas y no pudimos desayunar en el hotel, pero volvería otra vez"
4327,"Un problema menor. La insonorización interna podría ser mejor para el ruido entre los baños de las habitaciones. Para ser justos, parte de esto está fuera del control del hotel, huéspedes ruidosos y desconsiderados. Si tienes el sueño ligero, llévate tapones para los oídos."
4328,nada
4330,nada realmente.
4331,nada
4332,Las habitaciones eran un poco compactas pero contenían todo lo necesario.
4333,nada
4335,nada en absoluto
4336,La habitación y la cama eran un poco pequeñas.
4338,nada
4339,nada.
4340,nada. Las habitaciones eran pequeñas pero estaban perfectamente diseñadas y el baño estaba limpio y luminoso.
4342,"La habitación es demasiado pequeña comparada con las fotos, pero muy limpia y cómoda."
4343,
4344,desayuno bien
4346,"El estacionamiento no estaba tan cerca como habíamos pensado y el hotel está en la esquina de dos calles peatonales, por lo que es difícil si tienes que lidiar con equipaje. Pero vale la pena estar en el centro histórico."
4347,"¡Que algunas habitaciones miraban hacia el interior del edificio! Eso fue realmente extraño y diferente. Por otro lado, esas habitaciones estaban muy oscuras y las luces no eran tan buenas, sentías mucho sueño todo el tiempo. ¡Así que asegúrate de reservar una habitación exterior cuando lo hagas!"
4349,nada
4350,"30 por el desayuno de tres días, demasiado caro."
4351,"nada, todo estuvo bien"
4352,ligero olor a desagüe en la habitación
4353,nada
4354,nada
4355,nada
4356,"La habitación era estupenda, el baño era un poco pequeño pero adecuado. Me gusta tener una silla decente en la habitación y no había ninguna. Había una silla, pero más bien una silla de comedor."
4357,"Esa mañana, alrededor de las 6 de la mañana, había un camión con una escalera frente a la ventana, muy ruidoso. ¿La recepcionista mencionó que no era cierto?"
4359,
4361,"Creo que la habitación podría haberse beneficiado de una máquina de café y leche, ya que era una tetera con 1 café instantáneo, 1 azúcar y sin leche y tal vez una botella de agua en el minibar, ya que a veces los viajeros necesitan una bebida cuando llegan a la habitación y, especialmente, los viajeros tempranos podrían apreciar poder preparar un café en la habitación."
4366,"Lo único malo fue el olor en el baño la primera noche, por las aguas residuales de fuera, pero al parecer en el hotel dijeron que era normal en Valencia."
4367,Las habitaciones eran bastante ruidosas. Se podía escuchar a otras personas en las duchas y moviéndose.
4370,fuerte olor a ambientador en el lobby
4371,"El desayuno estaba bien, pero le vendría bien más variedad. personal excelente muy servicial"
4372,nada
4373,no hay estacionamiento en las instalaciones
4374,"Si planeas caminar hasta allí desde la estación de tren con equipaje, asegúrate de preguntar en qué estación bajar. De lo contrario, caminar hasta allí con equipaje es bastante difícil si tienes equipaje más grande y problemas de movilidad. Dice 5 minutos a pie pero no especifica cuál de las dos estaciones y nos bajamos en la equivocada sin darnos cuenta de que hay dos."
4375,habitación pequeña
4376,la sala de desayunos estaba abarrotada y pequeña. Caro en comparación con los cafés locales.
4377,"Sinceramente, no me puedo quejar de nada."
4378,nada
4381,"Nada menos que normalmente reservamos una habitación superior, pero no había ninguna disponible, por lo que tuvimos que reservar una económica."
4382,nada
4383,"No desayuné, no parecía una buena relación calidad-precio."
4384,notando que fue perfecto
4385,esperaba más del desayuno
4386,ya
4387,nada
4388,nada. ¡El ascensor fue un poco lento!
4390,nada
4392,nada
4393,"Habitación muy limpia y luminosa, pero sería pequeña para dos personas."
4394,nada
4396,absolutamente nada que no me guste.
4399,nada
4400,no hay quejas que hacer
4402,"Es solo una cosa pequeña, pero había solicitado una cama doble, pero eran 2 individuales juntas y los colchones no eran tan cómodos."
4404,nada en absoluto.
4405,"El hombre de recepción que parecía ser el gerente fue bastante grosero y al principio se negó a arreglar la habitación como doble en lugar de doble a pesar de que en realidad eran 2 camas; dijo que debería estar bien por 1 noche y que se reservó como una habitación doble después de nosotros, por lo que sería trabajo extra. a menos que no estuvieran planeando cambiar las sábanas, eso no tenía sentido. Al final dijo que lo cambiarían. Dice que no se garantizan 2 camas individuales o 1 cama doble. Lo entendería si solo tuvieran habitaciones con 1 cama doble, pero de todos modos había 2 camas individuales en la habitación."
4406,nada
4407,nada. fue genial.
4410,feliz con todo
4411,nada
4412,Habitaciones un poco pequeñas pero absolutamente bien por el precio. Me alegré de sacrificar el tamaño de la habitación por el nivel de servicio.
4413,zona de desayuno un poco pequeña.
4416,ni una cosa
4417,nada
4418,"Me gustó todo, definitivamente regresaría."
4419,el racionamiento de té y café en la habitación y tampoco leche para ello
4420,nada
4421,No se me ocurre nada que no me guste.
4425,"Los pasillos eran un poco estrechos al ir desde el vestíbulo, el ascensor y la habitación, pero para mí, no fue un gran problema."
4426,los colchones necesitan mejoras
4427,nada
4428,No fue fácil encontrar el lugar para dejar los pasajeros y el equipaje ya que no hay acceso directo al lugar desde el coche. es sólo un hecho para tener en cuenta.
4429,sin hierro
4430,sin fallas
4432,"Lamentablemente solo tenían el nivel 1 para mí, la gente al otro lado de la calle podía ver directamente mi habitación a través del balcón."
4433,"La única queja fue que había mucho ruido en la habitación de al lado entre las 8 y las 9:15, pero nos ofrecieron desayuno gratuito."
4434,"Habitaciones muy pequeñas, ascensores lentos."
4436,"La habitación tenía una nevera pero no parecía demasiado fría. La sala de desayuno era un poco pequeña, pero había una selección bastante buena de pasteles, etc."
4438,sin quejas
4440,¡nada!
4442,todo fue genial desde la llegada hasta la salida
4444,nada
4445,"El baño era un poco pequeño y básicamente solo había media puerta de ducha. No estoy seguro si este es el estilo en España pero fue un poco raro. El aire acondicionado estaba demasiado frío o no funcionaba, ¡no hay nada intermedio! afortunadamente tenían un ventilador, así que terminamos usándolo y dejando la puerta del balcón abierta, lo cual también era un buen ambiente."
4450,todo bien
4451,no hay canal en inglés en la televisión
4452,nada
4453,"La habitación es un poco más pequeña de lo esperado, pero la ubicación lo compensa."
4454,nada.
4455,baño muy caliente.. ?fam aircom
4456,Nos encantó todo sobre el hotel.
4457,nada
4458,La habitación era pequeña pero por la vista está bien.
4459,todo fue genial
4461,no había nada que no me gustara.
4464,Me hubiera gustado una nevera pequeña
4466,nada
4468,la ubicación era muy buena. y la vista desde el balcón era muy agradable.
4469,todo fue perfecto
4475,nada
4476,"Las paredes de la habitación eran muy delgadas, podíamos escuchar a nuestros vecinos hablar y entrar a sus habitaciones."
4479,La habitación era un poco pequeña para mi gusto.
4481,nada
4483,el aire acondicionado hace un poco de ruido
4484,"Reservamos una habitación sin ventana. Lo sabíamos en el momento de la reserva. No es ideal, recomendaría una habitación con ventana."
4486,desayuno
4487,todo estuvo bien.
4490,nada
4494,"nada, todo estuvo bien."
4496,"Las instalaciones del hotel podrían ser mejores. es decir, no una gran cantidad de espacio para relajarse mientras espera el check-out para un vuelo."
4498,"es españa, ¿qué es lo que no te gusta?"
4499,nada
4502,"No hay muchos aspectos negativos. Supongo que la habitación es pequeña, y la puerta corredera barata del baño podría haber sido más sustancial. También le vendrían bien algunos cajones. No hay grandes problemas, sin duda nos alojaríamos de nuevo."
4504,secadora
4505,nada.
4506,"Lamentamos no haber probado el desayuno, pero no es culpa del hotel. Los ascensores estaban un poco estrechos para la cantidad de personas que había en el hotel."
4507,nada en absoluto.
4508,nada ! ¡fue brillante!
4512,"El aire acondicionado estaba justo frente a mí, haciendo que el aire acondicionado a veces estuviera en conrotabol."
4513,nada
4517,Los pasillos eran un poco... claustrofóbicos. el hotel tiene que funcionar con espacio limitado.
4518,nada
4519,nada
4520,No logré reducir el flujo de aire en el aire acondicionado.
4521,Tenía una habitación interior de la que era consciente pero me sentía un poco claustrofóbico.
4522,nada en absoluto
4523,"Nuestra habitación era bastante pequeña como esperábamos, pero al estar al final del pasillo, desafortunadamente la forma de la habitación la hizo más pequeña."
4524,todo está bien
4526,El aparcamiento era difícil de localizar.
4527,Reservamos 3 camas individuales pero recibimos una cama doble y una cama individual.
4528,nada que no me guste
4529,El único punto es que no sabíamos que el hotel tenía convenio con un parking y paramos en otro antes y pagamos el precio completo.
4530,"Cogimos la habitación sin vistas, estaba oscuro. Nos gustó y solo pasamos 1 noche. pero si buscas luz es mejor ir al balcón"
4531,todo muy bien
4532,todo excelente
4533,nada
4535,todo está bien. habitaciones no enormes
4538,"El único inconveniente de las habitaciones fue la insonorización. Las personas de limpieza solían llegar a los pasillos muy temprano y era un poco molesto a primera hora de la mañana. sin embargo, el lugar también estaba muy limpio, por lo que valía la pena pagar el precio."
4540,nada.
4542,"El baño era pequeño. El programa solo tenía una ducha, un inodoro y un lavabo, pero en su lugar tenía un mini baño realmente incómodo con una ducha encima. entrar y salir era, como mínimo, precario. Había una barra de apoyo en la pared, pero una simple ducha habría sido mucho más fácil. simplemente demasiado complicado y totalmente innecesario."
4543,¡Todo es increíble!
4544,¡Todo estuvo genial!
4546,La habitación no era grande y olía un poco a humedad.
4547,No había nada que no me gustara de este hotel.
4549,"familia en una habitación, necesitaba un espacio extra para sentarse.9"
4550,La habitación era pequeña pero funcional.
4551,El olor al entrar al hotel por la puerta principal: olía a alcantarilla.
4552,Nuestro aire acondicionado no funcionaba y funcionaba con un ventilador de pie.
4554,baño pequeño
4557,"Habitación compacta, sin embargo, era muy cómoda y tenía todo lo necesario para una estancia corta."
4559,No me puedo quejar de este hotel.
4560,¡partida!
4561,"El gel de ducha y el champú estaban aguados y se acabaron, y tuvimos que ir a recepción a coger papel higiénico porque no nos dejaron suficiente."
4563,Tamaño de la habitación: muy pequeña y no exactamente como en las fotos. Almohadas incómodas. Ruido.
4564,nada
4565,nada
4566,"No se me ocurre nada, todo estuvo muy bien, feliz de recomendarlo y lo haré."
4567,habitación sosa y no muy amigable.
4568,no hubo nada que no nos gustara.
4569,Tener que pagar 75 centavos por una cápsula de café adicional. Ya que a nosotros dos personas solo nos dieron una cápsula con leche. No poder reservar una habitación con baño. La habitación era un poco pequeña.  pero tenía todo lo que necesitábamos. .
4570,nada
4572,La primera habitación que tuvimos estaba en el primer piso al lado del hotel y era ruidosa el viernes por la noche. La habitación era genial.
4573,¡Todo fue perfecto!
4575,"Todo el personal es genial, sólo una señora en la recepción fue un poco grosera."
4576,nada
4577,nada realmente.
4578,lavabo y ducha de drenaje muy lento
4579,"Las paredes eran delgadas, por lo que se podía oír al lado. estuvo bien ya que no eran ruidosos."
4581,nada
4583,nada
4584,"La puerta de la tarjeta de acceso, cada vez que salíamos teníamos problemas para que funcionara y regresar. sería luz roja en lugar de verde, sin luz, un ruido que escucharías cuando pudieras abrir la puerta sin poder abrirla. Fuimos a recepción unas seis veces. Finalmente obtuve una nueva tarjeta e incluso tuviste que intentar usarla varias veces antes de que funcionara. Creo que fue la propia cerradura de la puerta."
4585,nada. una estancia perfecta
4587,"La sala de desayunos está bastante concurrida, pero hay numerosas alternativas cerca del hotel."
4588,"El metro desde el aeropuerto tenía una cola de 20 minutos para comprar boletos y costaba 50 centavos más para nosotros tres que un taxi. Así que súbete a un taxi, más rápido y cuesta 15 euros."
4589,"Podría ser una vista maravillosa, pero nuestra habitación daba a un techo plano y unidades de aire acondicionado. intenta no tener 801"
4591,"La habitación interior no tenía luz natural, pero eso esperábamos."
4592,nada
4593,absolutely everything was ok cara sonriendo ligeramente
4594,nada
4596,"la gran bestia que se arrastró desde la veranda a través de la ventana. ¡Lo escoltaron afuera y la ventana estaba cerrada! La sala de desayunos estaba muy ocupada y ruidosa, con una selección básica de artículos que se ofrecían."
4597,Me hubiera gustado tener un hervidor en la habitación. Hay un microondas para calentar la comida pero no hay cubiertos para comer.
4598,"asegúrese de que haya leche en la habitación si va a ofrecer café, té, desayuno, comedor muy estrecho. No es un lugar donde puedas relajarte durante el desayuno."
4599,ninguno
4600,nada.
4601,nada
4602,"La calidad del desayuno era buena, pero la sala de desayunos es muy pequeña, por lo que algunos invitados tuvieron que esperar hasta que les dieran una mesa. y el ruido en la habitación era increíblemente alto, lo que hizo que el desayuno fuera una experiencia desagradable."
4604,Nada aparte del hecho de que las habitaciones son un poco pequeñas y el aire acondicionado se apaga sin motivo alguno.
4605,"Las instalaciones de desayuno podrían ser mejores y la selección de comida un poco más variada, pero en general está bien."
4606,nada: está a la altura de las expectativas de las críticas. debe tener al menos 3 estrellas.
4608,el baño era muy pequeño
4609,¡Nada más que un ventilador muy ruidoso en el dormitorio!
4611,Un poco ruidoso por la mañana ya que nuestra habitación estaba al lado del trastero de la señora de la limpieza.
4612,nada
4615,ducha sobre el baño
4617,todo está bien.
4619,el desayuno
4620,"la sala de desayuno parecía un poco pequeña, poco interesante y abarrotada"
4621,"nada, el hotel estuvo genial"
4622,"limpieza temprano en la mañana, haciendo ruido antes de las 8 a.m."
4623,La insonorización entre habitaciones no es la mejor pero no fue un problema.
4624,Pasillos un poco cansados ​​y oscuros.
4625,Las tarjetas de acceso no funcionaban correctamente.
4626,ya
4628,nada
4632,Me robaron el bolso en el lecho seco del río a pesar de que había tenido mucho cuidado. tarjetas teléfono etc. muy decepcionante
4634,"Hay mucho ruido por la mañana, las paredes son bastante delgadas, por lo que puedes escuchar todo en los pasillos."
4635,¡todo está bien!
4636,nada.
4638,¡nada!
4641,nada que pueda recordar ahora.
4642,La habitación estaba bastante anticuada. Ubicación bastante ruidosa pero muy céntrica.
4643,El interruptor del aire acondicionado parpadeaba por la noche en la posición de apagado.
4645,"La vista desde nuestras habitaciones 508 y 512, hay ventanas pero la vista era una pared en blanco."
4647,"Reservé una habitación que daba a la zona peatonal, pero conseguí una que daba a los tejados de los edificios de al lado. el balcón cubría un área de no más de 0,4 metros cuadrados."
4650,No mucho por el precio.
4651,"podías tener un bolígrafo o lápiz pequeño con algo de papel y algunos pañuelos de papel, la habitación era muy pequeña pero adecuada para nuestras necesidades de turismo."
4654,La habitación puede parecer muy pequeña si tienes equipaje grande.
4656,no hay inconvenientes que informar
4657,"Sin albornoz, sin zapatillas, sin agua embotellada, personal de recepción malhumorado, ascensores lentos, amas de llaves muy ruidosas: no es posible dormir después de las 10 a.m."
4659,tener solo una tarjeta de acceso era un poco inconveniente para dos personas.
4660,
4662,El hotel estaba bien pero un poco anticuado.
4665,El té y el café en las habitaciones podrían haber sido mejores. Quedaba muy poco en la habitación. ¡Tuvimos que pedir leche y tomar nuestras propias bolsitas de té del carrito de la criada! no quedó ninguno en la habitación
4666,"El único problema de este hotel es el aparcamiento. Ni siquiera puedes acercarte lo suficiente para dejar tus maletas, ya que el frente está en una zona peatonal cerrada. Planifica con antelación y decide qué aparcamiento vas a utilizar, no tiene sentido ir primero al hotel."
4668,poco pequeño
4669,"La habitación era bastante pequeña. La unidad de aire acondicionado sopla directamente sobre la cama, lo que la hacía un poco incómoda."
4670,Los ascensores y pasillos son un poco estrechos.
4671,"arreglos de estacionamiento, ubicación precio"
4672,"Realmente no me puedo quejar del lugar. Estábamos en un breve descanso de 3 noches, el personal de recepción fue muy servicial con ayuda con respecto al transporte público."
4677,"El aire acondicionado da demasiada luz al encender. Me desperté varias veces debido a la intensidad de la luz. la comunicación por correo electrónico que recibimos con anticipación fue solo en español, pero pudimos traducirla fácilmente;"
4678,Las camas eran bastante firmes y el baño es pequeño.
4679,El wifi no era bueno en mi habitación. Terminé mudándome a Starbucks porque tenía que trabajar y se congelaba constantemente. Es necesario cambiar el secador de pelo y no hay plancha para la ropa en la habitación.
4680,nada que comentar
4682,nada
4683,"Una vida no funciona y los ascensores solo admiten 4 personas a la vez, por lo que pocas veces tuvimos que esperar algunas vueltas."
